ÁöÁ¡,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),Æò±Õ Ç³¼Ó(m/s),Æò±Õ »ó´ë½Àµµ(%)
90,1997-01-01,1.5,5.8,71
90,1997-01-02,-4.6,9.8,42.4
90,1997-01-03,-1.8,4.2,35.9
90,1997-01-04,-1.1,2.2,43
90,1997-01-05,.3,3,83.5
90,1997-01-06,-2.7,2.6,81.4
90,1997-01-07,-.2,5,88.9
90,1997-01-08,.2,1.6,67.4
90,1997-01-09,-.8,2.4,50.8
90,1997-01-10,-1,2.2,73.6
90,1997-01-11,.5,1.6,84.6
90,1997-01-12,1.3,1.7,70.6
90,1997-01-13,3.8,2.3,60.9
90,1997-01-14,.6,2.9,52
90,1997-01-15,-.7,1.7,54
90,1997-01-16,.8,2.3,59.1
90,1997-01-17,1.7,4.2,67.9
90,1997-01-18,.2,2.7,42.9
90,1997-01-19,-.4,2.4,49.4
90,1997-01-20,3.3,4.9,59.8
90,1997-01-21,-6.8,4.6,57.1
90,1997-01-22,-3,2,54.9
90,1997-01-23,-1.3,3.1,57.1
90,1997-01-24,-2.5,3.2,53.8
90,1997-01-25,-.2,4.9,54.3
90,1997-01-26,3.1,3.5,50
90,1997-01-27,3.9,2.8,54.6
90,1997-01-28,0,4.7,61
90,1997-01-29,-2.7,5.4,50.8
90,1997-01-30,-1.9,1.9,59.6
90,1997-01-31,-1,2.5,70.1
90,1997-02-01,-1.7,2.6,65.9
90,1997-02-02,-1.2,3.9,56.4
90,1997-02-03,-2,2.5,84.5
90,1997-02-04,-.7,2.2,82.9
90,1997-02-05,1.9,2.1,61.4
90,1997-02-06,.3,4.6,63
90,1997-02-07,.9,1.8,56.6
90,1997-02-08,3,2,58.9
90,1997-02-09,2.3,3.5,78
90,1997-02-10,1.7,3,65.9
90,1997-02-11,-1,4.6,49.5
90,1997-02-12,-1.6,2.1,54.5
90,1997-02-13,.5,2.2,40.3
90,1997-02-14,3.1,2,42.3
90,1997-02-15,5.8,2.5,49.4
90,1997-02-16,-.4,4.2,43.6
90,1997-02-17,-.6,3.2,43.3
90,1997-02-18,0,5.1,38.6
90,1997-02-19,3.1,3.7,38.1
90,1997-02-20,6.5,5.9,48.5
90,1997-02-21,.6,5.8,42.5
90,1997-02-22,-.5,2.6,54.8
90,1997-02-23,5.7,1.9,48.6
90,1997-02-24,9.4,2.1,44.4
