ÁöÁ¡,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),Æò±Õ Ç³¼Ó(m/s),Æò±Õ »ó´ë½Àµµ(%)
172,2011-01-01,-6.4,2,79.8
172,2011-01-02,-4.9,1.7,76.9
172,2011-01-03,-3.1,2.6,71.8
172,2011-01-04,-2.4,.8,84
172,2011-01-05,1.3,4.2,66.9
172,2011-01-06,-1.7,4.6,73.9
172,2011-01-07,-4,3.2,67
172,2011-01-08,-2,1.2,79.8
172,2011-01-09,-1.4,5.4,68.4
172,2011-01-10,-6,3.4,66
172,2011-01-11,-3.1,2.1,79.4
172,2011-01-12,-3.3,4.7,61.6
172,2011-01-13,-5,1.6,69.8
172,2011-01-14,-2.1,1.8,71.4
172,2011-01-15,-5.6,7.4,66.8
172,2011-01-16,-7.9,3.4,81.1
172,2011-01-17,-5.6,2.6,72.9
172,2011-01-18,-3.9,1.5,82.6
172,2011-01-19,-3.4,2.5,75.8
172,2011-01-20,-4.3,3.4,74.3
172,2011-01-21,-5.2,2.7,68.8
172,2011-01-22,-4.5,1.7,75.5
172,2011-01-23,-1,2.1,65.5
172,2011-01-24,-3.4,4.2,84.6
172,2011-01-25,-4.1,2.5,72.8
172,2011-01-26,-5.7,2.5,74.4
172,2011-01-27,-4.7,4.7,54.8
172,2011-01-28,-4.7,3.5,54.5
172,2011-01-29,-6,2.8,71.3
172,2011-01-30,-6.6,2.1,75.8
172,2011-01-31,-5.3,1.6,77
172,2011-02-01,-1.4,.8,77.1
172,2011-02-02,1.1,1,79.6
172,2011-02-03,.4,1.1,75.8
172,2011-02-04,1.4,1.2,81.6
172,2011-02-05,.3,1.5,86.4
172,2011-02-06,2.7,1.9,83.9
172,2011-02-07,3.2,2.2,74.3
172,2011-02-08,4.1,2.6,78.9
172,2011-02-09,.7,3.2,70.6
172,2011-02-10,-1.2,2.5,63.9
172,2011-02-11,-1.2,3.8,67.5
172,2011-02-12,-4,5.1,71.1
172,2011-02-13,-3.5,2.1,68.9
172,2011-02-14,-2.6,3.3,69.9
172,2011-02-15,-1.9,1.7,73.3
172,2011-02-16,-.1,1.2,80.9
172,2011-02-17,.9,3.1,82.6
172,2011-02-18,.5,1.4,81.5
172,2011-02-19,1.5,1.6,75.5
172,2011-02-20,4.1,1.9,60.1
172,2011-02-21,4.1,1.6,71.9
172,2011-02-22,3.5,1.2,78.4
172,2011-02-23,5.7,1.5,76
172,2011-02-24,6.4,1.7,79.6
172,2011-02-25,4.2,3.2,71
172,2011-02-26,7.9,3.6,54.1
172,2011-02-27,11.9,4.8,91.3
172,2011-02-28,5.6,2.1,98.5
