ÁöÁ¡,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),Æò±Õ Ç³¼Ó(m/s),Æò±Õ »ó´ë½Àµµ(%)
93,2017-01-01,-.4,.4,87.1
93,2017-01-02,2.2,.6,86.5
93,2017-01-03,-.3,1,74.9
93,2017-01-04,.7,.6,75
93,2017-01-05,2.1,1.4,70.1
93,2017-01-06,2.9,.7,71.8
93,2017-01-07,.5,.6,83.8
93,2017-01-08,5,.7,76.3
93,2017-01-09,2.9,2.2,59.1
93,2017-01-10,-3,2.1,47.5
93,2017-01-11,-4.8,1.5,45
93,2017-01-12,-2.2,2.8,44.4
93,2017-01-13,-5.7,1.9,43.5
93,2017-01-14,-9,2,42.5
93,2017-01-15,-9,.7,53.4
93,2017-01-16,-7,.8,61.6
93,2017-01-17,-5.4,.7,60.9
93,2017-01-18,-3.4,.9,72
93,2017-01-19,-2.6,.5,71.4
93,2017-01-20,-2.9,1.3,69.8
93,2017-01-21,-6.2,1.1,79.6
93,2017-01-22,-7.7,1.9,48.4
93,2017-01-23,-10.3,1,61.1
93,2017-01-24,-9.4,.8,62.1
93,2017-01-25,-8.5,.7,63.5
93,2017-01-26,-4.5,1,63.6
93,2017-01-27,-3,1.9,63.6
93,2017-01-28,-5.7,.6,69.1
93,2017-01-29,-.4,.3,84.1
93,2017-01-30,-2.8,1.5,75
93,2017-01-31,-8.6,.6,75
93,2017-02-01,-6.1,1.2,59.4
93,2017-02-02,-5.8,1,60.6
93,2017-02-03,-3.2,.6,76.4
93,2017-02-04,-2.4,.4,81.9
93,2017-02-05,1.1,.8,77.8
93,2017-02-06,-1.7,1.6,61.8
93,2017-02-07,-4.1,.7,72.4
93,2017-02-08,-2.6,.9,67.5
93,2017-02-09,-5,1.8,57.3
93,2017-02-10,-7,1.8,51.8
93,2017-02-11,-6.4,1.2,58.1
93,2017-02-12,-4.2,.8,61.6
93,2017-02-13,-2.7,1,67.1
93,2017-02-14,-1.7,1.1,60.9
93,2017-02-15,-.3,1,59.6
93,2017-02-16,4,1.2,66.5
93,2017-02-17,4.1,2.2,56.9
93,2017-02-18,-2.4,1.9,51
93,2017-02-19,-1,1,78.3
93,2017-02-20,0,2,61.3
93,2017-02-21,-1.7,.9,58.8
93,2017-02-22,.5,.6,81.4
93,2017-02-23,.8,1.7,56.1
93,2017-02-24,-1,1.8,59.8
93,2017-02-25,.9,1.8,62.9
93,2017-02-26,1.7,1.2,62.6
93,2017-02-27,1.5,.9,59
93,2017-02-28,2.8,1.1,58.3
93,2017-03-01,4.1,.6,67.1
93,2017-03-02,2.7,1.4,76.5
93,2017-03-03,1.5,1.6,65.1
93,2017-03-04,3.2,.8,65.4
93,2017-03-05,4.3,1.4,67.8
93,2017-03-06,1.5,2.8,38.4
93,2017-03-07,-.8,2.4,35.8
93,2017-03-08,-.5,2,55.8
93,2017-03-09,2.9,2.6,48.8
93,2017-03-10,3.2,1.4,45.6
93,2017-03-11,5.1,.9,47
93,2017-03-12,6.8,1.2,59
93,2017-03-13,6.5,1.7,51.1
93,2017-03-14,3.3,1.6,56.6
93,2017-03-15,3.1,1,49.8
93,2017-03-16,4.3,1,48.1
93,2017-03-17,5.9,1.1,47.8
93,2017-03-18,8.2,1.4,43.5
93,2017-03-19,7.7,1,46.3
93,2017-03-20,7.1,.6,51.8
93,2017-03-21,4.5,1,70.9
93,2017-03-22,5.8,1.3,51.5
93,2017-03-23,6.8,1.5,52.3
93,2017-03-24,6.2,1,57.5
93,2017-03-25,4.3,.6,80.1
93,2017-03-26,5.6,.9,82.5
93,2017-03-27,4.3,.9,85.6
93,2017-03-28,4.7,.8,81.4
93,2017-03-29,5.7,1.2,65
93,2017-03-30,8.9,1,55.9
93,2017-03-31,7,.9,80
93,2017-04-01,6.5,1.1,80.6
93,2017-04-02,7,1.4,66.9
93,2017-04-03,10,1.3,53.3
93,2017-04-04,11.7,1.5,52.6
93,2017-04-05,10,.9,76.6
93,2017-04-06,12.8,1.9,79
93,2017-04-07,15.9,.9,64.3
93,2017-04-08,16.2,1.2,59.6
93,2017-04-09,13.7,2.7,54.1
93,2017-04-10,14.1,1.4,38.4
93,2017-04-11,15,2.1,39.6
93,2017-04-12,11.4,3.2,24.1
93,2017-04-13,11.7,2.2,45.6
93,2017-04-14,12.5,2.1,66.4
93,2017-04-15,15.5,1.4,65.1
93,2017-04-16,17.6,1.6,55.6
93,2017-04-17,13.9,2.1,68.6
93,2017-04-18,10.4,1.1,80.9
93,2017-04-19,12.7,2.6,49.8
93,2017-04-20,12,1.5,60.9
93,2017-04-21,12.6,1.6,56.9
93,2017-04-22,13.4,1.4,53.5
93,2017-04-23,14,2.3,45
93,2017-04-24,13.8,2,42.6
93,2017-04-25,16.4,2.6,44.3
93,2017-04-26,14.8,2.3,32.5
93,2017-04-27,12.2,2.4,42.1
93,2017-04-28,14,2.9,49
93,2017-04-29,15.5,2.4,47.4
93,2017-04-30,18.5,2.1,50.3
93,2017-05-01,19.9,1.6,33.4
93,2017-05-02,18.4,1.2,49.9
93,2017-05-03,19.7,1.3,49
93,2017-05-04,20,1.1,50.1
93,2017-05-05,21.8,2.7,49.1
93,2017-05-06,15,3.9,30.4
93,2017-05-07,16.1,3.2,38.1
93,2017-05-08,17.4,2.1,46.5
93,2017-05-09,16.2,.8,73
93,2017-05-10,16.2,1.2,76
93,2017-05-11,17.9,1.7,70.3
93,2017-05-12,17,1,84
93,2017-05-13,16.5,2,74.9
93,2017-05-14,16.2,4,48.9
93,2017-05-15,14.6,1.6,64.5
93,2017-05-16,16.3,1.2,67.8
93,2017-05-17,17.5,1.4,65.6
93,2017-05-18,19.5,1.9,55.6
93,2017-05-19,20.4,2,47
93,2017-05-20,20.9,1.3,49
93,2017-05-21,20.9,1.7,51.4
93,2017-05-22,20.9,1.4,56.1
93,2017-05-23,18.5,1.2,73.6
93,2017-05-24,20.7,1.4,64.1
93,2017-05-25,18.7,2.8,51.8
93,2017-05-26,15.8,1.2,51
93,2017-05-27,18.7,1.5,54.1
93,2017-05-28,20.2,2,56.9
93,2017-05-29,23.1,1.7,61
93,2017-05-30,21.9,1.8,52
93,2017-05-31,20.2,.9,50.1
93,2017-06-01,21,2,56.4
93,2017-06-02,19.7,1.6,45.1
93,2017-06-03,19.9,1.7,41.6
93,2017-06-04,20.2,1.9,45.1
93,2017-06-05,20.9,1.8,47.8
93,2017-06-06,18,1,65.3
93,2017-06-07,16.9,.4,90.6
93,2017-06-08,20.3,2,63.8
93,2017-06-09,19.8,2.2,70.5
93,2017-06-10,20.9,1.4,48.9
93,2017-06-11,20,2,47.6
93,2017-06-12,20,1.8,52.8
93,2017-06-13,18,1.3,71
93,2017-06-14,20.5,1.5,65.4
93,2017-06-15,22.7,1.6,57
93,2017-06-16,24.2,1.1,56.8
93,2017-06-17,24.5,1.5,57.3
93,2017-06-18,25.1,1.5,54.1
93,2017-06-19,24.3,1.3,53.1
93,2017-06-20,25.8,1.3,51.9
93,2017-06-21,24.9,1.6,55.9
93,2017-06-22,24.4,1.3,58
93,2017-06-23,26.6,1.3,53.9
93,2017-06-24,24.4,1.1,66
93,2017-06-25,22.2,.9,78
93,2017-06-26,23.5,1.4,67.8
93,2017-06-27,24.5,1.3,65.1
93,2017-06-28,25.5,1.3,67.3
93,2017-06-29,26,1.3,64.6
93,2017-06-30,25.7,1.5,60.5
93,2017-07-01,24.7,1.9,68.4
93,2017-07-02,24,.8,87.8
93,2017-07-03,24.7,1.6,83.1
93,2017-07-04,26.7,1.3,72
93,2017-07-05,26.6,1.2,66.4
93,2017-07-06,26.9,1.1,65.3
93,2017-07-07,26.3,1,79
93,2017-07-08,25.6,.7,87.6
93,2017-07-09,27.2,.9,78.4
93,2017-07-10,24.2,.9,90.8
93,2017-07-11,26.1,1.6,75.1
93,2017-07-12,26.8,1.3,74.9
93,2017-07-13,26.8,1.1,72.4
93,2017-07-14,26.6,1.2,77.3
93,2017-07-15,25.3,1.2,83.8
93,2017-07-16,26,1.3,79.5
93,2017-07-17,26.8,1.1,77.3
93,2017-07-18,26.4,1.1,77.6
93,2017-07-19,27.8,.8,74.6
93,2017-07-20,29.1,1.2,70.3
93,2017-07-21,28.8,1.3,77.1
93,2017-07-22,26.8,.3,89.4
93,2017-07-23,26.1,.2,91.1
93,2017-07-24,26.4,.4,83.8
93,2017-07-25,28,1.5,67.1
93,2017-07-26,26.8,1.2,64.5
93,2017-07-27,25.3,.7,73.9
93,2017-07-28,24.3,.6,88.8
93,2017-07-29,26.3,1.2,73.3
93,2017-07-30,25.9,.9,74.3
93,2017-07-31,24.8,.9,82.9
93,2017-08-01,27.7,1.1,74
