ÁöÁ¡,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),Æò±Õ Ç³¼Ó(m/s),Æò±Õ »ó´ë½Àµµ(%)
268,2015-01-01,-.8,5.5,79.5
268,2015-01-02,2.2,4.6,63.9
268,2015-01-03,1.4,1.3,79.3
268,2015-01-04,3.9,1,89.5
268,2015-01-05,7.6,1.9,87
268,2015-01-06,3.9,6.7,68.9
268,2015-01-07,1.2,5.7,64.1
268,2015-01-08,3.3,4.6,64.9
268,2015-01-09,4.9,3.3,63.5
268,2015-01-10,3.6,2.1,73.3
268,2015-01-11,3.1,3.7,72.9
268,2015-01-12,.1,3.5,66
268,2015-01-13,3,.8,72.5
268,2015-01-14,5.6,1.4,75.4
268,2015-01-15,4.9,2.9,77.5
268,2015-01-16,3.9,2.1,85.9
268,2015-01-17,1.6,5.2,67.5
268,2015-01-18,2.8,2.3,74.9
268,2015-01-19,5.7,4.2,55
268,2015-01-20,2.7,2.2,69.5
268,2015-01-21,5.9,1.2,91.8
268,2015-01-22,4.5,4.3,78.9
268,2015-01-23,2.5,1.5,76.9
268,2015-01-24,2.5,1,82.5
268,2015-01-25,8.9,2.1,86.5
268,2015-01-26,6.9,3.4,94
268,2015-01-27,1.8,5.7,71.9
268,2015-01-28,-.1,4,66.5
268,2015-01-29,1,2.1,85.8
268,2015-01-30,1.7,5.3,73.3
268,2015-01-31,.2,5.3,65.5
268,2015-02-01,.3,3.3,71.9
268,2015-02-02,2.5,3.1,66
268,2015-02-03,2.1,2.7,74.4
268,2015-02-04,3.4,2.5,72.1
268,2015-02-05,2.8,4.1,70.5
268,2015-02-06,2.4,2.6,70.4
268,2015-02-07,2.9,1.5,79.6
268,2015-02-08,-2,6.5,66.5
268,2015-02-09,-.5,4.1,59.3
268,2015-02-10,5.1,3.1,64.1
268,2015-02-11,4.1,1.7,77.8
268,2015-02-12,3.1,4.9,61.6
268,2015-02-13,.8,2.9,64
268,2015-02-14,3.2,1.2,80.6
268,2015-02-15,9.1,2.4,91
268,2015-02-16,8.6,3.3,92.1
268,2015-02-17,5.5,4.6,72.8
268,2015-02-18,3.8,4.7,72.8
268,2015-02-19,2.7,3.4,70.4
268,2015-02-20,5.3,1.9,78.5
268,2015-02-21,10.2,3.2,91.6
268,2015-02-22,5.7,3.7,84.9
268,2015-02-23,3.8,3.2,73.8
268,2015-02-24,4.3,3.1,62.1
268,2015-02-25,6.5,1.5,58.5
268,2015-02-26,4.7,4.2,73.5
268,2015-02-27,.9,5,60.5
268,2015-02-28,3.8,2.4,71.1
268,2015-03-01,4.4,4.1,75.3
268,2015-03-02,3.7,1.5,63.3
268,2015-03-03,5,2.3,77.6
268,2015-03-04,1.6,6.3,52.3
268,2015-03-05,1.6,3.8,58.4
268,2015-03-06,4.8,1.8,65.1
268,2015-03-07,4.9,2,65.5
268,2015-03-08,6.4,1.6,66.3
268,2015-03-09,4.2,5,72.8
268,2015-03-10,0,6.3,61.6
268,2015-03-11,5.2,3.6,61.4
268,2015-03-12,5.8,2.2,58.8
268,2015-03-13,9.1,2.5,82.5
268,2015-03-14,5,1.9,55.5
268,2015-03-15,5.7,1.2,55.1
268,2015-03-16,11.2,1.9,42.5
268,2015-03-17,13,1.1,66.4
268,2015-03-18,13.8,2.7,94.8
268,2015-03-19,10.7,1.8,92.1
268,2015-03-20,10.6,1.8,69.5
268,2015-03-21,10.7,1.1,73.1
268,2015-03-22,8.1,2.7,73.1
268,2015-03-23,6.2,4.3,55
268,2015-03-24,5.2,3.3,57.5
268,2015-03-25,4.6,1.4,66.5
268,2015-03-26,5.4,1.3,66.8
