ÁöÁ¡,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),Æò±Õ Ç³¼Ó(m/s),Æò±Õ »ó´ë½Àµµ(%)
192,1997-01-01,4.1,2.5,65.3
192,1997-01-02,-.9,5.6,41.1
192,1997-01-03,-1.9,2.3,53.8
192,1997-01-04,-1.6,1.4,42.4
192,1997-01-05,-2.1,1.6,75.6
192,1997-01-06,-3.4,4.3,50.6
192,1997-01-07,-5.6,.8,62.6
192,1997-01-08,-1.1,1.7,60
192,1997-01-09,-3.2,1.5,63.6
192,1997-01-10,-1.9,.6,72.6
192,1997-01-11,-.3,.5,73.4
192,1997-01-12,1.9,.9,83.6
192,1997-01-13,3.8,1.2,81.5
192,1997-01-14,1.9,1.5,56.3
192,1997-01-15,-1.5,.5,57.9
192,1997-01-16,.8,1,51.8
192,1997-01-17,.6,.9,63.4
192,1997-01-18,.6,2.9,47.8
192,1997-01-19,-2.3,.9,58.5
192,1997-01-20,-.8,1,72.9
192,1997-01-21,-3.5,4.4,37.9
192,1997-01-22,-6.2,1,53.5
192,1997-01-23,-3.7,.5,67
192,1997-01-24,-.4,3.5,38.6
192,1997-01-25,.1,3.3,39.3
192,1997-01-26,-.7,.8,65.9
192,1997-01-27,-.8,.7,69.1
192,1997-01-28,-1.2,2.2,59
192,1997-01-29,-.6,3.5,52.4
192,1997-01-30,.1,.9,53.5
192,1997-01-31,2.5,2,52.1
192,1997-02-01,1.1,1.7,48.5
192,1997-02-02,2,1.5,50.1
192,1997-02-03,-.1,2.4,47
192,1997-02-04,-2,.6,56.8
192,1997-02-05,.5,1,57.6
192,1997-02-06,1.2,3.1,51.3
192,1997-02-07,1.6,.7,57
192,1997-02-08,1.7,.8,62.1
192,1997-02-09,2.2,.8,55.4
192,1997-02-10,2.3,1.5,55.1
192,1997-02-11,.3,3.4,51.4
192,1997-02-12,-.5,1.9,51
192,1997-02-13,-1.1,2.6,57
192,1997-02-14,0,1.2,58.8
192,1997-02-15,2,1.3,62.8
192,1997-02-16,1.2,4.7,36.3
192,1997-02-17,0,3,37.5
192,1997-02-18,.1,3.7,46.6
192,1997-02-19,.6,2.5,49
192,1997-02-20,3.7,2.9,55.9
192,1997-02-21,4.1,4.8,33
192,1997-02-22,.7,1.6,46
192,1997-02-23,2.4,1.2,71.4
192,1997-02-24,6.3,1.3,63.8
192,1997-02-25,10.3,1.7,89.9
192,1997-02-26,9.4,1.6,80
192,1997-02-27,8.3,1,72.1
192,1997-02-28,8.5,1.5,84.6
192,1997-03-01,7.7,3.1,37
192,1997-03-02,4.2,2.5,47.1
192,1997-03-03,3.3,3.1,34.1
192,1997-03-04,3.6,1.4,56.9
192,1997-03-05,6,1.7,62.9
192,1997-03-06,6.3,1.4,91
192,1997-03-07,9.7,2.4,53.5
192,1997-03-08,7.4,1.3,55.8
192,1997-03-09,8.7,1.3,58.3
192,1997-03-10,8.8,1,90.1
192,1997-03-11,9.7,1.7,70.5
192,1997-03-12,9.3,1.2,71.8
192,1997-03-13,10.8,1.4,74.9
192,1997-03-14,7.2,2.8,90.3
192,1997-03-15,5.3,3.8,80.5
192,1997-03-16,6.1,4.1,55.9
192,1997-03-17,5.1,2.4,57.6
192,1997-03-18,5.5,1.4,67.6
192,1997-03-19,8.9,1.5,60.4
192,1997-03-20,9.1,1.6,60.5
192,1997-03-21,7.7,1.2,68.3
192,1997-03-22,9.8,2.1,55.6
192,1997-03-23,7,3.5,49.6
192,1997-03-24,5.1,1.8,56.9
192,1997-03-25,7.3,1.5,54.5
192,1997-03-26,8.9,1.2,63
192,1997-03-27,8.8,1.6,59.3
192,1997-03-28,10.1,2.3,57.4
192,1997-03-29,11.7,1.7,70.3
192,1997-03-30,6.1,5.5,23
192,1997-03-31,6.8,2.7,34.5
192,1997-04-01,9.7,1.6,51.1
192,1997-04-02,11,1.1,91.6
192,1997-04-03,11.7,2.1,83.8
192,1997-04-04,10,2.3,84
192,1997-04-05,10.8,1.2,86.4
192,1997-04-06,11.5,1.7,76.6
192,1997-04-07,11.2,1.5,67.5
192,1997-04-08,11.2,1.5,72
192,1997-04-09,10.5,3.5,41.1
192,1997-04-10,10.5,2.5,36.1
192,1997-04-11,11,2.9,41.9
192,1997-04-12,12.1,2.8,48
192,1997-04-13,13.2,1.6,54.5
192,1997-04-14,15.2,1.5,59
192,1997-04-15,13.8,2,59.5
192,1997-04-16,12,1.6,65.3
192,1997-04-17,13.5,2.9,62.1
192,1997-04-18,13.5,2.2,63.3
192,1997-04-19,13.1,1.5,62.5
192,1997-04-20,13.4,1.5,57.5
192,1997-04-21,11.9,.7,88.4
192,1997-04-22,15.5,1.6,65.4
192,1997-04-23,13.1,2,59.4
192,1997-04-24,12.6,1.9,61.4
192,1997-04-25,12.9,1.6,57.5
192,1997-04-26,13.8,1.6,53.9
192,1997-04-27,13.9,2.1,55.8
192,1997-04-28,17.5,2.4,57
192,1997-04-29,19.2,4.8,65
192,1997-04-30,17.3,1.7,67.6
192,1997-05-01,16,2.8,55.5
192,1997-05-02,15.1,1.3,64.4
192,1997-05-03,18.9,2.1,62.3
192,1997-05-04,19.8,3.7,69.8
192,1997-05-05,20.1,1.9,76.6
192,1997-05-06,22.9,4.2,74.3
192,1997-05-07,21.2,3.6,90.3
192,1997-05-08,16.7,3.6,70.4
192,1997-05-09,15.9,1.4,60.6
192,1997-05-10,15.4,2.8,59
192,1997-05-11,16.4,.7,87.1
192,1997-05-12,16.7,1.3,91.3
192,1997-05-13,18.2,1.9,90.5
192,1997-05-14,21.5,3.2,80.1
192,1997-05-15,22.9,1.6,74.8
192,1997-05-16,21.5,2.6,54.3
192,1997-05-17,18.9,3.2,39.8
192,1997-05-18,18.3,3.5,48.1
192,1997-05-19,18,2.9,52.3
192,1997-05-20,16.9,2.5,55.1
192,1997-05-21,15,1.6,71.1
192,1997-05-22,16.5,1.6,64.3
192,1997-05-23,17.3,2.9,55.4
192,1997-05-24,16,3,58.9
192,1997-05-25,16.9,1.9,55
192,1997-05-26,16.5,2.2,72.8
192,1997-05-27,15.7,1.7,76.9
192,1997-05-28,17.5,1.9,68.9
192,1997-05-29,18.3,1.2,72.1
192,1997-05-30,17.2,2.4,80.8
192,1997-05-31,19.4,1.9,69.3
192,1997-06-01,18.9,2.8,80.4
192,1997-06-02,21.2,2.3,54.6
192,1997-06-03,19.8,1.2,59.6
192,1997-06-04,20,1.8,62.9
192,1997-06-05,18.6,2.5,86.3
192,1997-06-06,19.9,2.2,76.9
192,1997-06-07,20.6,1.5,69.5
192,1997-06-08,19.3,1.7,89.9
192,1997-06-09,22.5,2,67.6
192,1997-06-10,22.4,1.2,59.5
192,1997-06-11,21.5,1.2,58.5
192,1997-06-12,21.6,1.4,62.5
192,1997-06-13,22.2,1.4,65.6
192,1997-06-14,23,1.5,58.8
192,1997-06-15,23,1.4,62.1
192,1997-06-16,23.4,1.6,60.5
192,1997-06-17,23.9,1.5,68.4
192,1997-06-18,23.6,1.3,68
192,1997-06-19,24.8,1.7,63.4
192,1997-06-20,23.3,1.4,78.4
192,1997-06-21,24.4,1.7,68.6
192,1997-06-22,23.6,1.1,75.4
192,1997-06-23,24.7,1.5,73
192,1997-06-24,23.9,2,73.6
192,1997-06-25,23.3,2.2,90.6
192,1997-06-26,24.4,3.3,86.3
192,1997-06-27,24.3,1.8,89.1
192,1997-06-28,24.9,3.6,69.6
192,1997-06-29,23.7,1.5,76.5
192,1997-06-30,23.3,1.7,73.4
192,1997-07-01,23.7,3.7,91.3
192,1997-07-02,25.7,3.8,85.4
192,1997-07-03,26.7,5.1,80.3
192,1997-07-04,26,5.6,81.5
192,1997-07-05,25.7,5.3,83.8
192,1997-07-06,23.2,4.3,90.3
192,1997-07-07,22.7,.8,75.9
192,1997-07-08,20.9,.7,89
192,1997-07-09,21.9,1,81.6
192,1997-07-10,23.2,1.7,77.3
192,1997-07-11,20,1.8,91.3
192,1997-07-12,21.5,1,91.6
192,1997-07-13,23.5,1.1,83.9
192,1997-07-14,24.8,1.5,78.3
192,1997-07-15,25.8,3.7,83.3
192,1997-07-16,24.9,3.5,88.8
192,1997-07-17,24,1.3,86.3
192,1997-07-18,23.9,1.2,75
192,1997-07-19,24,1.1,71.8
192,1997-07-20,25.4,2.3,75.9
192,1997-07-21,27.5,2,76.8
192,1997-07-22,29.4,1.1,74.8
